symbol,margin
SOBHA,3
SOLARINDS,3
SOUTHBANK,3
SPARC,3
SRF,5
SRTRANSFIN,11
STAR,10
SUNDARMFIN,3
SUNDRMFAST,3
SUNPHARMA,5
SUNTECK,3
SUNTV,11
SUPREMEIND,3
SUVEN,3
SYNDIBANK,3
SYNGENE,3
TAKE,3
TATACHEM,12.5
TATACOFFEE,3
TATACOMM,3
TATAELXSI,12.5
TATAGLOBAL,12.5
TATAINVEST,3
TATAMOTORS,9
TATAMTRDVR,9
TATAPOWER,12.5
TATASTEEL,12.5
TATASTLLP,3
TCI,3
TCS,12.5
TECHM,12.5
TEXRAIL,5
THERMAX,3
THOMASCOOK,1
THYROCARE,3
TIMETECHNO,3
TINPLATE,3
TITAN,5
TNPETRO,3
TNPL,3
TORNTPHARM,12.5
TORNTPOWER,12.5
TRENT,3
TRIDENT,3
TRIVENI,3
TTKPRESTIG,3
TV18BRDCST,3
TVSMOTOR,12.5
TWL,3
UBL,12.5
UCOBANK,3
UJJIVAN,5
ULTRACEMCO,12.5
UNIONBANK,11
UNIVCABLES,3
UPL,12.5
USHAMART,3
VEDL,5
VGUARD,3
VIPIND,3
VOLTAS,12.5
VTL,3
WABCOINDIA,3
WELCORP,3
WELENT,3
WELSPUNIND,3
WHIRLPOOL,3
WIPRO,12.5
WONDERLA,3
YESBANK,3
ZEEL,3
IOB,3
